calfNumber,parc,day,Duration,cwd,datetime,State
6791,2,2022-02-18,478,6791 2022-02-18,2022-02-18 18:59:51,Diarrhé
6791,2,2022-02-18,260,6791 2022-02-18,2022-02-18 18:54:29,Diarrhé
6791,2,2022-02-18,276,6791 2022-02-18,2022-02-18 16:24:18,Diarrhé
6791,2,2022-02-18,200,6791 2022-02-18,2022-02-18 16:17:38,Diarrhé
6791,2,2022-02-18,13,6791 2022-02-18,2022-02-18 16:07:37,Diarrhé
6791,2,2022-02-18,8,6791 2022-02-18,2022-02-18 16:07:14,Diarrhé
6791,2,2022-02-18,46,6791 2022-02-18,2022-02-18 16:05:41,Diarrhé
6791,2,2022-02-18,501,6791 2022-02-18,2022-02-18 11:38:32,Diarrhé
6791,2,2022-02-18,100,6791 2022-02-18,2022-02-18 11:27:18,Diarrhé
6791,2,2022-02-18,110,6791 2022-02-18,2022-02-18 09:08:54,Diarrhé
6791,2,2022-02-18,212,6791 2022-02-18,2022-02-18 08:26:44,Diarrhé
6791,2,2022-02-18,336,6791 2022-02-18,2022-02-18 06:06:20,Diarrhé
6791,2,2022-02-18,351,6791 2022-02-18,2022-02-18 21:29:22,Diarrhé
6761,10,2022-02-18,271,6761 2022-02-18,2022-02-18 18:57:44,Pneumonie
6761,10,2022-02-18,1126,6761 2022-02-18,2022-02-18 18:30:56,Pneumonie
6761,10,2022-02-18,755,6761 2022-02-18,2022-02-18 13:08:12,Pneumonie
6761,10,2022-02-18,5,6761 2022-02-18,2022-02-18 06:16:06,Pneumonie
6761,10,2022-02-18,783,6761 2022-02-18,2022-02-18 06:02:44,Pneumonie
6761,10,2022-02-18,1060,6761 2022-02-18,2022-02-18 20:38:09,Pneumonie
6761,10,2022-02-18,14,6761 2022-02-18,2022-02-18 20:35:58,Pneumonie
6761,10,2022-02-18,331,6761 2022-02-18,2022-02-18 19:02:17,Pneumonie
6370,10,2022-02-18,35,6370 2022-02-18,2022-02-18 18:57:09,"Diarrhé, Pneumonie"
6370,10,2022-02-18,395,6370 2022-02-18,2022-02-18 15:27:00,"Diarrhé, Pneumonie"
6370,10,2022-02-18,757,6370 2022-02-18,2022-02-18 12:20:21,"Diarrhé, Pneumonie"
6370,10,2022-02-18,411,6370 2022-02-18,2022-02-18 06:19:50,"Diarrhé, Pneumonie"
6370,10,2022-02-18,8,6370 2022-02-18,2022-02-18 06:19:18,"Diarrhé, Pneumonie"
