image,path,label,calf,station,before,from,conf,type,box_x,box_y,box_width,box_height
image_3_19_6791_2_2022-02-18 11:27:18_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_3_19_6791_2_2022-02-18 11:27:18_Diarrhé.png,Diarrhé,6791,2,2022-02-18 11:27:18,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218110001_20220218114056.mp4,0.82984716,Face,1468.7817,940.5984,381.97754,462.12836
image_4_0_6791_2_2022-02-18 09:08:54_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_4_0_6791_2_2022-02-18 09:08:54_Diarrhé.png,Diarrhé,6791,2,2022-02-18 09:08:54,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8276374,Face,1509.0854,1011.7438,283.41614,421.18414
image_4_10_6791_2_2022-02-18 09:08:54_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_4_10_6791_2_2022-02-18 09:08:54_Diarrhé.png,Diarrhé,6791,2,2022-02-18 09:08:54,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8197055,Face,1471.3279,1015.1092,465.84888,504.0216
image_4_11_6791_2_2022-02-18 09:08:54_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_4_11_6791_2_2022-02-18 09:08:54_Diarrhé.png,Diarrhé,6791,2,2022-02-18 09:08:54,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.82072276,Face,1439.3271,1008.975,398.77124,502.5979
image_4_12_6791_2_2022-02-18 09:08:54_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_4_12_6791_2_2022-02-18 09:08:54_Diarrhé.png,Diarrhé,6791,2,2022-02-18 09:08:54,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8253515,Face,1443.9338,1054.7278,406.78064,482.54437
image_11_12_6768_2_2022-02-18 14:56:31_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_11_12_6768_2_2022-02-18 14:56:31_Diarrhé.png,Diarrhé,6768,2,2022-02-18 14:56:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.81547874,Face,1487.9507,930.58167,421.58838,611.88354
image_11_13_6768_2_2022-02-18 14:56:31_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_11_13_6768_2_2022-02-18 14:56:31_Diarrhé.png,Diarrhé,6768,2,2022-02-18 14:56:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8764551,Face,1542.3501,863.458,394.71106,576.9455
image_11_16_6768_2_2022-02-18 14:56:31_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_11_16_6768_2_2022-02-18 14:56:31_Diarrhé.png,Diarrhé,6768,2,2022-02-18 14:56:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8465639,Face,1524.874,772.9258,385.40784,564.8711
image_11_17_6768_2_2022-02-18 14:56:31_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_11_17_6768_2_2022-02-18 14:56:31_Diarrhé.png,Diarrhé,6768,2,2022-02-18 14:56:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8433583,Face,1456.3684,800.2723,349.13367,551.99475
image_11_18_6768_2_2022-02-18 14:56:31_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_11_18_6768_2_2022-02-18 14:56:31_Diarrhé.png,Diarrhé,6768,2,2022-02-18 14:56:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8478639,Face,1399.7742,778.5902,343.08374,546.73047
image_11_19_6768_2_2022-02-18 14:56:31_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_11_19_6768_2_2022-02-18 14:56:31_Diarrhé.png,Diarrhé,6768,2,2022-02-18 14:56:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.85086256,Face,1410.8542,779.14465,360.32324,525.6184
image_13_1_6768_2_2022-02-18 09:45:40_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_13_1_6768_2_2022-02-18 09:45:40_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:45:40,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8208054,Face,1470.7788,995.6575,409.906,596.1218
image_14_0_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_0_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.87446415,Face,1509.4971,886.59357,347.56213,525.33777
