image,path,label,calf,station,before,from,conf,box_center_x,box_center_y,box_width,box_height,bilabel,x_min,x_max,y_min,y_max
"image_2118_9_6796_1_2022-02-28 21:38:30_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_2118_9_6796_1_2022-02-28 21:38:30_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6796,1,2022-02-28 21:38:30,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228213108_20220228220000.mp4,0.81888556,1454.2345,1015.8799,287.7837,356.91742,Illness,1310.34265,1598.12635,837.42119,1194.33861
image_2209_16_6771_2_2022-02-28 19:48:43_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_2209_16_6771_2_2022-02-28 19:48:43_Pneumonie.png,Pneumonie,6771,2,2022-02-28 19:48:43,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220228190001_20220228200001.mp4,0.90574265,1488.3223,877.82355,560.7894,803.4713,Illness,1207.9276,1768.717,476.08789999999993,1279.5592
image_277_12_6707_1_2022-02-17 14:00:52_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_277_12_6707_1_2022-02-17 14:00:52_Healthy.png,Healthy,6707,1,2022-02-17 14:00:52,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220217140000_20220217150000.mp4,0.8104799,481.52014,771.93884,582.63074,535.32275,Healthy,190.20477000000005,772.83551,504.277465,1039.600215
image_266_7_6403_2_2022-02-17 10:09:00_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_266_7_6403_2_2022-02-17 10:09:00_Healthy.png,Healthy,6403,2,2022-02-17 10:09:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217100001_20220217110001.mp4,0.82205755,1450.0183,883.099,417.02917,464.66724,Healthy,1241.5037149999998,1658.532885,650.76538,1115.43262
"image_13_12_6370_10_2022-02-18 18:57:09_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_13_12_6370_10_2022-02-18 18:57:09_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6370,10,2022-02-18 18:57:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220218180009_20220218190009.mp4,0.9280083,1850.1929,908.8273,348.9901,509.35522,Illness,1675.69785,2024.68795,654.1496900000001,1163.50491
image_3161_14_6766_10_2022-03-13 21:53:07_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_3161_14_6766_10_2022-03-13 21:53:07_Pneumonie.png,Pneumonie,6766,10,2022-03-13 21:53:07,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220313210009_20220313220000.mp4,0.8541064,1163.7018,949.1561,526.0566,573.5765,Illness,900.6735000000001,1426.7301,662.3678500000001,1235.94435
image_660_4_6786_2_2022-02-24 13:22:17_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_660_4_6786_2_2022-02-24 13:22:17_Diarrhé.png,Diarrhé,6786,2,2022-02-24 13:22:17,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220224130001_20220224140001.mp4,0.832226,1512.7693,510.51456,374.84827,510.23273,Illness,1325.345165,1700.193435,255.39819500000002,765.630925
image_3652_8_6839_9_2022-04-01 16:15:45_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_3652_8_6839_9_2022-04-01 16:15:45_Healthy.png,Healthy,6839,9,2022-04-01 16:15:45,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220401160008_20220401170008.mp4,0.90092826,1156.2664,937.352,387.67102,432.80334,Healthy,962.43089,1350.1019099999999,720.95033,1153.75367
"image_1720_18_6786_2_2022-03-03 09:53:21_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_1720_18_6786_2_2022-03-03 09:53:21_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6786,2,2022-03-03 09:53:21,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220303090001_20220303100001.mp4,0.8819812,1173.1378,943.3458,465.72577,535.53937,Illness,940.274915,1406.000685,675.5761150000001,1211.115485
image_3269_17_6760_10_2022-03-12 07:00:34_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_3269_17_6760_10_2022-03-12 07:00:34_Pneumonie.png,Pneumonie,6760,10,2022-03-12 07:00:34,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220312070009_20220312080009.mp4,0.8257115,1083.5234,990.1626,346.9076,550.0722,Illness,910.0696,1256.9772,715.1265000000001,1265.1987
image_24_3_6768_2_2022-02-18 09:45:40_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_24_3_6768_2_2022-02-18 09:45:40_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:45:40,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8200444,1436.246,963.1009,449.1936,665.7982,Illness,1211.6492,1660.8428000000001,630.2018,1296.0
image_2567_17_6774_2_2022-02-26 08:44:15_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_2567_17_6774_2_2022-02-26 08:44:15_Diarrhé.png,Diarrhé,6774,2,2022-02-26 08:44:15,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220226080001_20220226090001.mp4,0.853192,1385.3679,979.83765,550.9419,502.37183,Illness,1109.8969499999998,1660.83885,728.651735,1231.023565
image_2202_16_6405_1_2022-02-28 06:10:18_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_2202_16_6405_1_2022-02-28 06:10:18_Diarrhé.png,Diarrhé,6405,1,2022-02-28 06:10:18,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228060000_20220228070000.mp4,0.88599426,1395.5007,1084.2988,356.87817,414.98523,Illness,1217.061615,1573.939785,876.806185,1291.7914150000001
image_4012_15_6827_9_2022-04-06 21:36:38_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_4012_15_6827_9_2022-04-06 21:36:38_Healthy.png,Healthy,6827,9,2022-04-06 21:36:38,/data/public/heureux_2022-02-16_2022-04-16/2022-04-05-2022-04-10/N862A6_ch9_main_20220406210008_20220406220000.mp4,0.828008,1208.6809,1005.2386,226.03845,289.63367,Healthy,1095.661675,1321.700125,860.421765,1150.055435
image_1757_17_6370_10_2022-03-03 10:10:21_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_1757_17_6370_10_2022-03-03 10:10:21_Pneumonie.png,Pneumonie,6370,10,2022-03-03 10:10:21,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220303100008_20220303110009.mp4,0.8497044,1192.2668,895.68475,473.6153,514.0834,Illness,955.4591500000001,1429.07445,638.64305,1152.72645
image_2441_10_6773_2_2022-02-26 11:36:40_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_2441_10_6773_2_2022-02-26 11:36:40_Healthy.png,Healthy,6773,2,2022-02-26 11:36:40,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220226110001_20220226114103.mp4,0.9125388,1533.3628,876.417,408.85156,581.2076,Healthy,1328.93702,1737.7885800000001,585.8132,1167.0208
image_3818_12_6838_9_2022-03-28 20:04:19_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_3818_12_6838_9_2022-03-28 20:04:19_Diarrhé.png,Diarrhé,6838,9,2022-03-28 20:04:19,/data/public/heureux_2022-02-16_2022-04-16/2022-03-24-2022-03-29/N862A6_ch9_main_20220328200008_20220328210008.mp4,0.81796026,1156.3794,1056.5519,379.92297,457.3247,Illness,966.417915,1346.340885,827.8895499999999,1285.21425
image_2134_9_6797_1_2022-02-28 06:39:34_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_2134_9_6797_1_2022-02-28 06:39:34_Diarrhé.png,Diarrhé,6797,1,2022-02-28 06:39:34,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228060000_20220228070000.mp4,0.87216395,1357.6984,1054.9968,366.3938,442.7881,Illness,1174.5015,1540.8953,833.6027499999999,1276.3908499999998
image_600_13_6764_10_2022-02-25 15:24:09_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_600_13_6764_10_2022-02-25 15:24:09_Pneumonie.png,Pneumonie,6764,10,2022-02-25 15:24:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch10_main_20220225150009_20220225160009.mp4,0.89924175,1048.9559,886.5031,413.26562,500.3468,Illness,842.3230899999999,1255.58871,636.3297,1136.6765
image_1470_15_6796_1_2022-02-20 16:45:31_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_1470_15_6796_1_2022-02-20 16:45:31_Diarrhé.png,Diarrhé,6796,1,2022-02-20 16:45:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220220160000_20220220170000.mp4,0.8567645,1252.3654,941.563,360.70605,469.75122,Illness,1072.0123749999998,1432.718425,706.68739,1176.43861
image_3219_8_6375_10_2022-03-12 20:26:24_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_3219_8_6375_10_2022-03-12 20:26:24_Diarrhé.png,Diarrhé,6375,10,2022-03-12 20:26:24,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220312200009_20220312210009.mp4,0.8228015,1061.9685,1056.4153,424.281,466.31366,Illness,849.828,1274.109,823.2584699999999,1289.57213
"image_577_9_6407_1_2022-02-25 12:49:32_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_577_9_6407_1_2022-02-25 12:49:32_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6407,1,2022-02-25 12:49:32,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch1_main_20220225120000_20220225130000.mp4,0.92340887,1348.917,1043.7041,259.0138,434.74945,Illness,1219.4100999999998,1478.4239,826.3293749999999,1261.078825
image_2039_15_6375_10_2022-03-01 19:56:09_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_2039_15_6375_10_2022-03-01 19:56:09_Pneumonie.png,Pneumonie,6375,10,2022-03-01 19:56:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220301190009_20220301200009.mp4,0.8403975,1158.1293,937.0045,480.17096,610.61993,Illness,918.0438200000001,1398.21478,631.6945350000001,1242.314465
image_1747_17_6393_10_2022-03-03 14:13:44_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_1747_17_6393_10_2022-03-03 14:13:44_Pneumonie.png,Pneumonie,6393,10,2022-03-03 14:13:44,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220303140009_20220303150009.mp4,0.8386117,1405.791,1007.2608,470.27234,397.8656,Illness,1170.65483,1640.92717,808.328,1206.1936
image_660_9_6786_2_2022-02-24 13:22:17_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_660_9_6786_2_2022-02-24 13:22:17_Diarrhé.png,Diarrhé,6786,2,2022-02-24 13:22:17,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220224130001_20220224140001.mp4,0.85050714,1458.6768,835.1536,447.29114,823.81555,Illness,1235.03123,1682.3223699999999,423.24582499999997,1247.061375
image_2621_7_6385_10_2022-03-11 11:22:15_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_2621_7_6385_10_2022-03-11 11:22:15_Pneumonie.png,Pneumonie,6385,10,2022-03-11 11:22:15,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220311110009_20220311120009.mp4,0.8210386,1420.7812,788.94946,344.35132,350.5401,Illness,1248.60554,1592.9568599999998,613.6794100000001,964.21951
image_277_11_6707_1_2022-02-17 14:00:52_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_277_11_6707_1_2022-02-17 14:00:52_Healthy.png,Healthy,6707,1,2022-02-17 14:00:52,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220217140000_20220217150000.mp4,0.8866491,525.8699,762.6674,571.78925,523.18274,Healthy,239.975275,811.764525,501.07603000000006,1024.25877
image_458_7_6738_10_2022-02-16 14:20:03_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_458_7_6738_10_2022-02-16 14:20:03_Pneumonie.png,Pneumonie,6738,10,2022-02-16 14:20:03,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220216140009_20220216150009.mp4,0.8141631,1158.8597,768.1575,550.9727,534.5191,Illness,883.37335,1434.34605,500.89795000000004,1035.41705
image_191_8_6768_2_2022-02-17 21:18:36_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_191_8_6768_2_2022-02-17 21:18:36_Healthy.png,Healthy,6768,2,2022-02-17 21:18:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217210001_20220217220000.mp4,0.8495136,1482.4236,786.8653,410.5338,513.7914,Healthy,1277.1567,1687.6905000000002,529.9696000000001,1043.761
image_3219_7_6375_10_2022-03-12 20:26:24_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_3219_7_6375_10_2022-03-12 20:26:24_Diarrhé.png,Diarrhé,6375,10,2022-03-12 20:26:24,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220312200009_20220312210009.mp4,0.9319663,1091.3647,943.09485,394.13092,522.2092,Illness,894.29924,1288.4301600000001,681.99025,1204.19945
image_2214_7_6388_10_2022-02-28 13:16:11_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_2214_7_6388_10_2022-02-28 13:16:11_Healthy.png,Healthy,6388,10,2022-02-28 13:16:11,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220228130009_20220228140009.mp4,0.94802064,1192.3518,899.7572,494.60803,548.8155,Healthy,945.047785,1439.6558149999998,625.3494499999999,1174.16495
image_2082_12_6809_1_2022-03-01 08:29:14_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_2082_12_6809_1_2022-03-01 08:29:14_Pneumonie.png,Pneumonie,6809,1,2022-03-01 08:29:14,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220301080000_20220301090000.mp4,0.85167885,1454.7358,840.3165,291.53162,385.0191,Illness,1308.96999,1600.5016099999998,647.80695,1032.8260500000001
"image_2194_7_6774_2_2022-02-28 17:04:44_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_2194_7_6774_2_2022-02-28 17:04:44_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6774,2,2022-02-28 17:04:44,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220228170001_20220228180001.mp4,0.81780535,1399.2415,947.8511,395.54626,591.53424,Illness,1201.46837,1597.0146300000001,652.08398,1243.6182199999998
"image_315_1_6783_2_2022-02-17 14:43:49_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_315_1_6783_2_2022-02-17 14:43:49_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6783,2,2022-02-17 14:43:49,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217140001_20220217150001.mp4,0.81859547,1504.7523,985.1662,381.33325,522.3551,Illness,1314.085675,1695.4189250000002,723.98865,1246.34375
image_2771_4_6382_10_2022-03-08 16:20:03_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_2771_4_6382_10_2022-03-08 16:20:03_Healthy.png,Healthy,6382,10,2022-03-08 16:20:03,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220308160009_20220308170009.mp4,0.8911913,1251.041,1083.7709,486.55365,424.4582,Healthy,1007.7641749999999,1494.3178249999999,871.5418,1296.0
"image_1813_1_6771_2_2022-03-02 06:17:05_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_1813_1_6771_2_2022-03-02 06:17:05_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6771,2,2022-03-02 06:17:05,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302060000_20220302070001.mp4,0.89793265,1333.6576,320.1861,407.30103,553.1249,Illness,1130.007085,1537.308115,43.62365,596.74855
image_1589_3_6726_10_2022-02-19 20:42:58_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_1589_3_6726_10_2022-02-19 20:42:58_Healthy.png,Healthy,6726,10,2022-02-19 20:42:58,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220219200009_20220219210009.mp4,0.8421482,1555.8531,961.6019,304.65747,397.4917,Healthy,1403.524365,1708.181835,762.85605,1160.34775
