station,start_at,end_at,path,start_time,end_time,start_date,start_hour,start_mn
1,2022-03-04T20:00:00,2022-03-04T21:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220304200000_20220304210000.mp4,2022-03-04 20:00:00,2022-03-04 21:00:00,2022-03-04,20,0
1,2022-03-03T11:41:10,2022-03-03T13:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220303114110_20220303130000.mp4,2022-03-03 11:41:10,2022-03-03 13:00:00,2022-03-03,11,41
2,2022-03-04T11:00:01,2022-03-04T12:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220304110001_20220304120001.mp4,2022-03-04 11:00:01,2022-03-04 12:00:01,2022-03-04,11,0
9,2022-03-01T13:00:08,2022-03-01T14:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220301130008_20220301140008.mp4,2022-03-01 13:00:08,2022-03-01 14:00:08,2022-03-01,13,0
9,2022-03-04T07:00:08,2022-03-04T08:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220304070008_20220304080008.mp4,2022-03-04 07:00:08,2022-03-04 08:00:08,2022-03-04,7,0
10,2022-03-02T15:00:09,2022-03-02T16:00:09,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220302150009_20220302160009.mp4,2022-03-02 15:00:09,2022-03-02 16:00:09,2022-03-02,15,0
2,2022-02-28T20:00:01,2022-02-28T21:00:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220228200001_20220228210001.mp4,2022-02-28 20:00:01,2022-02-28 21:00:01,2022-02-28,20,0
1,2022-03-05T20:00:00,2022-03-05T21:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220305200000_20220305210000.mp4,2022-03-05 20:00:00,2022-03-05 21:00:00,2022-03-05,20,0
1,2022-02-28T11:00:00,2022-02-28T12:00:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220228110000_20220228120000.mp4,2022-02-28 11:00:00,2022-02-28 12:00:00,2022-02-28,11,0
9,2022-02-28T06:00:00,2022-02-28T07:00:08,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch9_main_20220228060000_20220228070008.mp4,2022-02-28 06:00:00,2022-02-28 07:00:08,2022-02-28,6,0
