calfNumber,parc,day,Duration,cwd,datetime,State
6791,2,2022-02-18,478,6791 2022-02-18,2022-02-18 18:59:51,Diarrhé
6791,2,2022-02-18,260,6791 2022-02-18,2022-02-18 18:54:29,Diarrhé
6791,2,2022-02-18,501,6791 2022-02-18,2022-02-18 11:38:32,Diarrhé
6791,2,2022-02-18,100,6791 2022-02-18,2022-02-18 11:27:18,Diarrhé
6791,2,2022-02-18,110,6791 2022-02-18,2022-02-18 09:08:54,Diarrhé
6761,10,2022-02-18,1126,6761 2022-02-18,2022-02-18 18:30:56,Pneumonie
6761,10,2022-02-18,783,6761 2022-02-18,2022-02-18 06:02:44,Pneumonie
6370,10,2022-02-18,8,6370 2022-02-18,2022-02-18 06:19:18,"Diarrhé, Pneumonie"
6370,10,2022-02-18,131,6370 2022-02-18,2022-02-18 22:26:45,"Diarrhé, Pneumonie"
6768,2,2022-02-18,128,6768 2022-02-18,2022-02-18 18:48:57,Diarrhé
6768,2,2022-02-18,126,6768 2022-02-18,2022-02-18 18:24:07,Diarrhé
6768,2,2022-02-18,456,6768 2022-02-18,2022-02-18 14:56:31,Diarrhé
6768,2,2022-02-18,663,6768 2022-02-18,2022-02-18 10:57:37,Diarrhé
6768,2,2022-02-18,15,6768 2022-02-18,2022-02-18 09:45:40,Diarrhé
6768,2,2022-02-18,27,6768 2022-02-18,2022-02-18 09:38:53,Diarrhé
6768,2,2022-02-18,492,6768 2022-02-18,2022-02-18 06:14:05,Diarrhé
6746,10,2022-02-18,268,6746 2022-02-18,2022-02-18 13:20:47,Unknown
6746,10,2022-02-18,370,6746 2022-02-18,2022-02-18 06:46:18,Unknown
6728,10,2022-02-18,278,6728 2022-02-18,2022-02-18 18:18:06,Diarrhé
6728,10,2022-02-18,202,6728 2022-02-18,2022-02-18 14:27:47,Diarrhé
6356,9,2022-02-18,103,6356 2022-02-18,2022-02-18 13:00:26,Unknown
6356,9,2022-02-18,211,6356 2022-02-18,2022-02-18 09:17:26,Unknown
6356,9,2022-02-18,71,6356 2022-02-18,2022-02-18 21:16:54,Unknown
6794,2,2022-02-18,127,6794 2022-02-18,2022-02-18 16:14:56,Unknown
6794,2,2022-02-18,134,6794 2022-02-18,2022-02-18 10:36:55,Unknown
6794,2,2022-02-18,157,6794 2022-02-18,2022-02-18 09:59:33,Unknown
6794,2,2022-02-18,205,6794 2022-02-18,2022-02-18 09:51:36,Unknown
