calfNumber,parc,day,Duration,cwd,datetime,State
6791,2,2022-02-18,478,6791 2022-02-18,2022-02-18 18:59:51,Diarrhé
6791,2,2022-02-18,276,6791 2022-02-18,2022-02-18 16:24:18,Diarrhé
6791,2,2022-02-18,200,6791 2022-02-18,2022-02-18 16:17:38,Diarrhé
6791,2,2022-02-18,46,6791 2022-02-18,2022-02-18 16:05:41,Diarrhé
6791,2,2022-02-18,501,6791 2022-02-18,2022-02-18 11:38:32,Diarrhé
6791,2,2022-02-18,100,6791 2022-02-18,2022-02-18 11:27:18,Diarrhé
6791,2,2022-02-18,110,6791 2022-02-18,2022-02-18 09:08:54,Diarrhé
6791,2,2022-02-18,212,6791 2022-02-18,2022-02-18 08:26:44,Diarrhé
6761,10,2022-02-18,1126,6761 2022-02-18,2022-02-18 18:30:56,Pneumonie
6761,10,2022-02-18,755,6761 2022-02-18,2022-02-18 13:08:12,Pneumonie
6761,10,2022-02-18,783,6761 2022-02-18,2022-02-18 06:02:44,Pneumonie
6761,10,2022-02-18,1060,6761 2022-02-18,2022-02-18 20:38:09,Pneumonie
6761,10,2022-02-18,331,6761 2022-02-18,2022-02-18 19:02:17,Pneumonie
6370,10,2022-02-18,35,6370 2022-02-18,2022-02-18 18:57:09,"Diarrhé, Pneumonie"
6370,10,2022-02-18,757,6370 2022-02-18,2022-02-18 12:20:21,"Diarrhé, Pneumonie"
6370,10,2022-02-18,8,6370 2022-02-18,2022-02-18 06:19:18,"Diarrhé, Pneumonie"
6370,10,2022-02-18,131,6370 2022-02-18,2022-02-18 22:26:45,"Diarrhé, Pneumonie"
6370,10,2022-02-18,306,6370 2022-02-18,2022-02-18 19:18:12,"Diarrhé, Pneumonie"
6768,2,2022-02-18,136,6768 2022-02-18,2022-02-18 18:52:10,Diarrhé
6768,2,2022-02-18,128,6768 2022-02-18,2022-02-18 18:48:57,Diarrhé
6768,2,2022-02-18,203,6768 2022-02-18,2022-02-18 18:31:37,Diarrhé
6768,2,2022-02-18,126,6768 2022-02-18,2022-02-18 18:24:07,Diarrhé
6768,2,2022-02-18,456,6768 2022-02-18,2022-02-18 14:56:31,Diarrhé
6768,2,2022-02-18,663,6768 2022-02-18,2022-02-18 10:57:37,Diarrhé
6768,2,2022-02-18,15,6768 2022-02-18,2022-02-18 09:45:40,Diarrhé
6768,2,2022-02-18,13,6768 2022-02-18,2022-02-18 09:37:46,Diarrhé
6768,2,2022-02-18,492,6768 2022-02-18,2022-02-18 06:14:05,Diarrhé
6768,2,2022-02-18,360,6768 2022-02-18,2022-02-18 20:20:15,Diarrhé
6728,10,2022-02-18,278,6728 2022-02-18,2022-02-18 18:18:06,Diarrhé
6728,10,2022-02-18,202,6728 2022-02-18,2022-02-18 14:27:47,Diarrhé
6728,10,2022-02-18,283,6728 2022-02-18,2022-02-18 09:12:39,Diarrhé
6724,10,2022-02-18,192,6724 2022-02-18,2022-02-18 18:09:54,"Diarrhé, Pneumonie"
6724,10,2022-02-18,184,6724 2022-02-18,2022-02-18 14:24:25,"Diarrhé, Pneumonie"
6724,10,2022-02-18,142,6724 2022-02-18,2022-02-18 14:21:21,"Diarrhé, Pneumonie"
6724,10,2022-02-18,154,6724 2022-02-18,2022-02-18 10:00:30,"Diarrhé, Pneumonie"
6724,10,2022-02-18,22,6724 2022-02-18,2022-02-18 06:39:55,"Diarrhé, Pneumonie"
6724,10,2022-02-18,13,6724 2022-02-18,2022-02-18 06:29:54,"Diarrhé, Pneumonie"
6724,10,2022-02-18,32,6724 2022-02-18,2022-02-18 21:26:06,"Diarrhé, Pneumonie"
6354,9,2022-02-18,200,6354 2022-02-18,2022-02-18 17:18:41,Healthy
6354,9,2022-02-18,5,6354 2022-02-18,2022-02-18 17:14:56,Healthy
6354,9,2022-02-18,169,6354 2022-02-18,2022-02-18 13:41:46,Healthy
6354,9,2022-02-18,11,6354 2022-02-18,2022-02-18 13:24:42,Healthy
6354,9,2022-02-18,12,6354 2022-02-18,2022-02-18 13:14:44,Healthy
6354,9,2022-02-18,11,6354 2022-02-18,2022-02-18 09:21:38,Healthy
6354,9,2022-02-18,135,6354 2022-02-18,2022-02-18 21:13:19,Healthy
6786,2,2022-02-18,589,6786 2022-02-18,2022-02-18 18:03:08,Diarrhé
6786,2,2022-02-18,399,6786 2022-02-18,2022-02-18 17:14:53,Diarrhé
6786,2,2022-02-18,759,6786 2022-02-18,2022-02-18 08:34:26,Diarrhé
6353,9,2022-02-18,23,6353 2022-02-18,2022-02-18 17:40:38,Healthy
6353,9,2022-02-18,190,6353 2022-02-18,2022-02-18 16:03:58,Healthy
6353,9,2022-02-18,199,6353 2022-02-18,2022-02-18 12:00:06,Healthy
6353,9,2022-02-18,214,6353 2022-02-18,2022-02-18 08:00:16,Healthy
6353,9,2022-02-18,199,6353 2022-02-18,2022-02-18 19:32:27,Healthy
6773,2,2022-02-18,383,6773 2022-02-18,2022-02-18 17:32:07,Healthy
6773,2,2022-02-18,388,6773 2022-02-18,2022-02-18 15:23:19,Healthy
