video,path,label,duration,calf,station,before,from
clip_0_6831_9_2022-03-25 18:03:00_Pneumonie.mp4,temp_videos/Pneumonie/clip_0_6831_9_2022-03-25 18:03:00_Pneumonie.mp4,Pneumonie,20.0,6831,9,2022-03-25 18:03:00,/data/public/heureux_2022-02-16_2022-04-16/2022-03-24-2022-03-29/N862A6_ch9_main_20220325180008_20220325190008.mp4
clip_1_6764_10_2022-02-19 20:28:29_Pneumonie.mp4,temp_videos/Pneumonie/clip_1_6764_10_2022-02-19 20:28:29_Pneumonie.mp4,Pneumonie,20.0,6764,10,2022-02-19 20:28:29,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220219200009_20220219210009.mp4
clip_2_6403_2_2022-02-26 12:42:40_Diarrhé.mp4,temp_videos/Diarrhé/clip_2_6403_2_2022-02-26 12:42:40_Diarrhé.mp4,Diarrhé,20.0,6403,2,2022-02-26 12:42:40,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220226114106_20220226130001.mp4
clip_3_6403_2_2022-02-17 13:36:31_Healthy.mp4,temp_videos/Healthy/clip_3_6403_2_2022-02-17 13:36:31_Healthy.mp4,Healthy,20.0,6403,2,2022-02-17 13:36:31,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217130001_20220217140001.mp4
clip_4_6786_2_2022-02-23 14:44:41_Healthy.mp4,temp_videos/Healthy/clip_4_6786_2_2022-02-23 14:44:41_Healthy.mp4,Healthy,20.0,6786,2,2022-02-23 14:44:41,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220223140001_20220223150001.mp4
clip_5_6354_9_2022-02-16 12:49:47_Healthy.mp4,temp_videos/Healthy/clip_5_6354_9_2022-02-16 12:49:47_Healthy.mp4,Healthy,20.0,6354,9,2022-02-16 12:49:47,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch9_main_20220216114057_20220216130008.mp4
clip_6_6426_9_2022-03-12 06:35:06_Healthy.mp4,temp_videos/Healthy/clip_6_6426_9_2022-03-12 06:35:06_Healthy.mp4,Healthy,20.0,6426,9,2022-03-12 06:35:06,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch9_main_20220312060000_20220312070008.mp4
clip_7_6841_9_2022-04-04 20:45:07_Healthy.mp4,temp_videos/Healthy/clip_7_6841_9_2022-04-04 20:45:07_Healthy.mp4,Healthy,20.0,6841,9,2022-04-04 20:45:07,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220404200008_20220404210008.mp4
clip_8_6787_2_2022-03-02 21:37:44_Diarrhé.mp4,temp_videos/Diarrhé/clip_8_6787_2_2022-03-02 21:37:44_Diarrhé.mp4,Diarrhé,20.0,6787,2,2022-03-02 21:37:44,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302210001_20220302220000.mp4
clip_9_6836_9_2022-04-01 16:49:10_Pneumonie.mp4,temp_videos/Pneumonie/clip_9_6836_9_2022-04-01 16:49:10_Pneumonie.mp4,Pneumonie,20.0,6836,9,2022-04-01 16:49:10,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220401160008_20220401170008.mp4
clip_10_6771_2_2022-02-16 17:04:57_Diarrhé.mp4,temp_videos/Diarrhé/clip_10_6771_2_2022-02-16 17:04:57_Diarrhé.mp4,Diarrhé,20.0,6771,2,2022-02-16 17:04:57,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220216170001_20220216180001.mp4
clip_11_6831_9_2022-04-15 09:23:35_Healthy.mp4,temp_videos/Healthy/clip_11_6831_9_2022-04-15 09:23:35_Healthy.mp4,Healthy,20.0,6831,9,2022-04-15 09:23:35,/data/public/heureux_2022-02-16_2022-04-16/2022-04-11-2022-04-16/N862A6_ch9_main_20220415090008_20220415100008.mp4
clip_12_6746_10_2022-03-05 19:12:50_Pneumonie.mp4,temp_videos/Pneumonie/clip_12_6746_10_2022-03-05 19:12:50_Pneumonie.mp4,Pneumonie,20.0,6746,10,2022-03-05 19:12:50,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220305190009_20220305200009.mp4
clip_13_6783_2_2022-02-22 11:58:00_Diarrhé.mp4,temp_videos/Diarrhé/clip_13_6783_2_2022-02-22 11:58:00_Diarrhé.mp4,Diarrhé,20.0,6783,2,2022-02-22 11:58:00,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220222110001_20220222120001.mp4
clip_14_6385_10_2022-03-16 10:27:41_Pneumonie.mp4,temp_videos/Pneumonie/clip_14_6385_10_2022-03-16 10:27:41_Pneumonie.mp4,Pneumonie,20.0,6385,10,2022-03-16 10:27:41,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220316100009_20220316110009.mp4
clip_15_6391_2_2022-02-21 20:40:14_Healthy.mp4,temp_videos/Healthy/clip_15_6391_2_2022-02-21 20:40:14_Healthy.mp4,Healthy,20.0,6391,2,2022-02-21 20:40:14,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220221200001_20220221210001.mp4
clip_16_6831_9_2022-03-09 14:30:22_Diarrhé.mp4,temp_videos/Diarrhé/clip_16_6831_9_2022-03-09 14:30:22_Diarrhé.mp4,Diarrhé,20.0,6831,9,2022-03-09 14:30:22,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch9_main_20220309140008_20220309150008.mp4
clip_17_6746_10_2022-03-08 14:00:16_Healthy.mp4,temp_videos/Healthy/clip_17_6746_10_2022-03-08 14:00:16_Healthy.mp4,Healthy,7.0,6746,10,2022-03-08 14:00:16,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220308140009_20220308150009.mp4
clip_19_6838_9_2022-04-15 08:35:27_Healthy.mp4,temp_videos/Healthy/clip_19_6838_9_2022-04-15 08:35:27_Healthy.mp4,Healthy,20.0,6838,9,2022-04-15 08:35:27,/data/public/heureux_2022-02-16_2022-04-16/2022-04-11-2022-04-16/N862A6_ch9_main_20220415080008_20220415090008.mp4
clip_20_6741_9_2022-02-19 17:37:38_Healthy.mp4,temp_videos/Healthy/clip_20_6741_9_2022-02-19 17:37:38_Healthy.mp4,Healthy,20.0,6741,9,2022-02-19 17:37:38,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch9_main_20220219170008_20220219180008.mp4
